timestamp,VWC,temp_soil,temp_room,temp_soil_shifted_1,temp_soil_shifted_2,temp_soil_shifted_3,temp_soil_shifted_4,temp_soil_shifted_5,temp_soil_shifted_6,temp_soil_predict
2017/11/22 17:35,0.364,21,18.79,21.1,21.1,21.1,21.1,21.1,21.1,21.08
2017/11/22 17:40,0.364,21,18.77,21,21.1,21.1,21.1,21.1,21.1,20.9765
2017/11/22 17:45,0.364,21,18.79,21,21,21.1,21.1,21.1,21.1,20.9775
2017/11/22 17:50,0.364,21,18.79,21,21,21,21.1,21.1,21.1,20.9778
2017/11/22 17:55,0.364,21,18.77,21,21,21,21,21.1,21.1,20.976
2017/11/22 18:00,0.364,21,18.77,21,21,21,21,21,21.1,20.9784
2017/11/22 18:05,0.364,20.9,18.77,21,21,21,21,21,21,20.9811
2017/11/22 18:10,0.364,20.9,18.75,20.9,21,21,21,21,21,20.8776
2017/11/22 18:15,0.364,20.9,18.72,20.9,20.9,21,21,21,21,20.8779
2017/11/22 18:20,0.364,20.9,18.7,20.9,20.9,20.9,21,21,21,20.8781
2017/11/22 18:25,0.364,20.9,18.63,20.9,20.9,20.9,20.9,21,21,20.8755
2017/11/22 18:30,0.364,20.9,18.58,20.9,20.9,20.9,20.9,20.9,21,20.8773
2017/11/22 18:35,0.364,20.9,18.58,20.9,20.9,20.9,20.9,20.9,20.9,20.88
2017/11/22 18:40,0.364,20.8,18.56,20.9,20.9,20.9,20.9,20.9,20.9,20.8798
2017/11/22 18:45,0.364,20.8,18.51,20.8,20.9,20.9,20.9,20.9,20.9,20.7758
2017/11/22 18:50,0.364,20.8,18.46,20.8,20.8,20.9,20.9,20.9,20.9,20.7759
2017/11/22 18:55,0.364,20.8,18.41,20.8,20.8,20.8,20.9,20.9,20.9,20.7756
2017/11/22 19:00,0.364,20.7,18.39,20.8,20.8,20.8,20.8,20.9,20.9,20.7737
2017/11/22 19:05,0.364,20.7,18.39,20.7,20.8,20.8,20.8,20.8,20.9,20.6729
